,author_id,author_id_new,conv_id_new,conversation_id,created_at,entities.mentions,id,id_new,in_reply_to_user_id,lang,public_metrics.like_count,public_metrics.quote_count,public_metrics.reply_count,public_metrics.retweet_count,referenced_tweets,reply_settings,source,text,users.created_at,users.description,users.id,users.name,users.public_metrics.followers_count,users.public_metrics.following_count,users.public_metrics.listed_count,users.public_metrics.tweet_count,users.username,users.verified
0,704078524,author_id: 704078524,coversation_id: 938091563250540545,938091563250540545,2017-12-06T14:52:58.000Z,"[{'start': 0, 'end': 12, 'username': 'DominicRaab', 'id': '4764882552'}]",938421008574353409,id: 938421008574353409,4764882552,en,2,0,0,0,"[{'type': 'replied_to', 'id': '938091563250540545'}]",everyone,Twitter Web App,"@DominicRaab I've still no clue on labour's Brexit position. That's how Corbyn likes it, hoping to appeal to both leave &amp; remain voters. Staying on the fence criticising fm sidelines doesn't make him a leader",2013-10-07T21:41:58.000Z,I am proud to have been awarded the KentFA Outstanding Contribution to Safeguarding Children award,704078524,Justine,721,1545,18,15662,The_little_pea,False
1,54853035,author_id: 54853035,coversation_id: 938091563250540545,938091563250540545,2017-12-05T21:04:00.000Z,"[{'start': 0, 'end': 12, 'username': 'DominicRaab', 'id': '4764882552'}]",938151994304466946,id: 938151994304466946,4764882552,und,0,0,0,0,"[{'type': 'replied_to', 'id': '938091563250540545'}]",everyone,Twitter Web Client,@DominicRaab https://t.co/UopMtUQxDZ,2009-07-08T09:58:27.000Z,"politically homeless..anti mass immigration and open borders,, anti lying  career politicians.., boris is a immigration enabler,proud right winger",54853035,englands glory,3801,2427,29,150534,bestofbritish2,False
2,54853035,author_id: 54853035,coversation_id: 938091563250540545,938091563250540545,2017-12-05T18:59:48.000Z,"[{'start': 0, 'end': 12, 'username': 'DominicRaab', 'id': '4764882552'}]",938120739353440256,id: 938120739353440256,4764882552,und,0,0,0,0,"[{'type': 'replied_to', 'id': '938091563250540545'}]",everyone,Twitter Web Client,@DominicRaab https://t.co/g1LtNX3dWi,2009-07-08T09:58:27.000Z,"politically homeless..anti mass immigration and open borders,, anti lying  career politicians.., boris is a immigration enabler,proud right winger",54853035,englands glory,3801,2427,29,150534,bestofbritish2,False
3,368387335,author_id: 368387335,coversation_id: 938091563250540545,938091563250540545,2017-12-05T19:22:59.000Z,"[{'start': 0, 'end': 12, 'username': 'DominicRaab', 'id': '4764882552'}, {'start': 13, 'end': 23, 'username': 'PickardJE', 'id': '69080476'}]",938126575568064512,id: 938126575568064512,4764882552,und,0,0,0,0,"[{'type': 'replied_to', 'id': '938091563250540545'}]",everyone,Twitter for iPhone,@DominicRaab @PickardJE  https://t.co/UNphnqjjY2,2011-09-05T15:15:33.000Z,How are you doing today? I'm Danny Duberstein. I heard you have Groat's disease,368387335,Lovers 🇺🇦,213,496,7,32873,jonloveridge83,False
4,859830271637692416,author_id: 859830271637692416,coversation_id: 938091563250540545,938091563250540545,2017-12-05T18:34:08.000Z,"[{'start': 0, 'end': 12, 'username': 'DominicRaab', 'id': '4764882552'}]",938114281907916800,id: 938114281907916800,4764882552,en,0,0,0,0,"[{'type': 'replied_to', 'id': '938091563250540545'}]",everyone,Twitter for Android,"@DominicRaab Thank goodness the Tory Party are so at one.
Thank goodness the DUP are fully on board.
Thank goodness we are getting concession after concession from the EU.
Thank goodness we had detailed impact papers.
Thank goodness we have Davis, Johnson and Fox.
Thank goodness for May.",2017-05-03T18:01:26.000Z,HA0u9if9isisIisI0pl989[lollipop9,859830271637692416,Spurs2257,267,1077,1,41426,spurscad,False
5,500048680,author_id: 500048680,coversation_id: 938091563250540545,938091563250540545,2017-12-05T17:27:26.000Z,"[{'start': 0, 'end': 12, 'username': 'DominicRaab', 'id': '4764882552'}]",938097494227120130,id: 938097494227120130,4764882552,en,0,0,0,0,"[{'type': 'replied_to', 'id': '938091563250540545'}]",everyone,Twitter for Android,@DominicRaab Headbanging Tory inflexibility vs rational thought!,2012-02-22T19:05:39.000Z,Calling out the fascists #FBPE #GTTO #ResistFascism #SlavaUkrainii,500048680,L'Expert 💙😎🇿🇲🇪🇺🇨🇵🇺🇦 ♿,5425,5967,6,72466,thegoodexpert,False
6,726886205913223168,author_id: 726886205913223168,coversation_id: 938091563250540545,938091563250540545,2017-12-05T17:25:58.000Z,"[{'start': 0, 'end': 12, 'username': 'DominicRaab', 'id': '4764882552'}, {'start': 13, 'end': 23, 'username': 'PickardJE', 'id': '69080476'}]",938097124671188993,id: 938097124671188993,4764882552,en,0,0,0,0,"[{'type': 'replied_to', 'id': '938091563250540545'}]",everyone,Twitter for iPhone,@DominicRaab @PickardJE And what is the Tory Brexit position? I guess I should ask the DUP.,2016-05-01T21:29:11.000Z,,726886205913223168,Damon,25986,1253,182,101267,damocrat,False
7,452324391,author_id: 452324391,coversation_id: 938091563250540545,938091563250540545,2017-12-05T17:22:31.000Z,"[{'start': 0, 'end': 12, 'username': 'DominicRaab', 'id': '4764882552'}, {'start': 13, 'end': 23, 'username': 'PickardJE', 'id': '69080476'}]",938096259096825858,id: 938096259096825858,4764882552,en,4,0,0,0,"[{'type': 'replied_to', 'id': '938091563250540545'}]",everyone,Twitter for iPhone,"@DominicRaab @PickardJE All true. But it's you, Dominic Raab, and not Labour that brought us to this mess. You own it.",2012-01-01T18:13:00.000Z,"Commercial lawyer. Legal editor. Politics, cricket, history and occasionally beer. Views mine not my employer's. Yorkshireman now living in Ireland.",452324391,Robert Crossley,119,201,2,3295,RobertCrossley2,False
8,873841091539349504,author_id: 873841091539349504,coversation_id: 938091563250540545,938091563250540545,2017-12-05T17:14:27.000Z,"[{'start': 0, 'end': 12, 'username': 'DominicRaab', 'id': '4764882552'}, {'start': 13, 'end': 23, 'username': 'PickardJE', 'id': '69080476'}]",938094227539595264,id: 938094227539595264,4764882552,en,2,0,0,0,"[{'type': 'replied_to', 'id': '938091563250540545'}]",everyone,Twitter for iPhone,@DominicRaab @PickardJE At least they show flexibility. Not like your vile Never Never Never DUP which is gobbling up British cash in exchange for a filthy deal,2017-06-11T09:55:26.000Z,Blocked by Gerard Batten Kate Hoey and Ian Paisley Junior for calling out their hateful rhetoric,873841091539349504,Dump The Dup,169,427,0,3592,DumpTheDup,False
