,author_id,author_id_new,conv_id_new,conversation_id,created_at,entities.mentions,id,id_new,in_reply_to_user_id,lang,public_metrics.like_count,public_metrics.quote_count,public_metrics.reply_count,public_metrics.retweet_count,referenced_tweets,reply_settings,source,text,users.created_at,users.description,users.id,users.name,users.public_metrics.followers_count,users.public_metrics.following_count,users.public_metrics.listed_count,users.public_metrics.tweet_count,users.username,users.verified
0,20225638,author_id: 20225638,coversation_id: 990938963945848834,990938963945848834,2018-05-21T21:42:13.000Z,"[{'start': 0, 'end': 13, 'username': 'DavidDavisMP', 'id': '2797521996'}, {'start': 14, 'end': 28, 'username': 'MichelBarnier', 'id': '17487476'}]",998680385193201664,id: 998680385193201664,2797521996,en,0,0,0,0,"[{'type': 'replied_to', 'id': '990938963945848834'}]",everyone,Twitter for iPhone,@DavidDavisMP @MichelBarnier You already agreed to a backstop! Now you are trying to wriggle out of it! You can’t be trusted.,2009-02-06T09:36:09.000Z,🇪🇺🇺🇦Metropolitan elite but for some reason I still have to clean my own toilet. #FBPE Brexiters are pathological liars. I will follow back FBPE ASAP,20225638,🇺🇦 🇪🇺 🇬🇧 Клер Адамс 🌻🌻🌻🌻,3692,4999,11,110731,ClareAdams,False
1,20225638,author_id: 20225638,coversation_id: 990938963945848834,990938963945848834,2018-05-04T04:24:11.000Z,"[{'start': 0, 'end': 7, 'username': 'mb8son', 'id': '1518990684941918215'}, {'start': 8, 'end': 24, 'username': 'bryanpatterso20', 'id': '3097811715'}, {'start': 25, 'end': 38, 'username': 'DavidDavisMP', 'id': '2797521996'}, {'start': 39, 'end': 53, 'username': 'MichelBarnier', 'id': '17487476'}]",992258564252028928,id: 992258564252028928,142669648,en,0,0,0,0,"[{'type': 'replied_to', 'id': '991356962616086534'}]",everyone,Twitter for iPhone,@mb8son @bryanpatterso20 @DavidDavisMP @MichelBarnier The end of Brexit is nigh.,2009-02-06T09:36:09.000Z,🇪🇺🇺🇦Metropolitan elite but for some reason I still have to clean my own toilet. #FBPE Brexiters are pathological liars. I will follow back FBPE ASAP,20225638,🇺🇦 🇪🇺 🇬🇧 Клер Адамс 🌻🌻🌻🌻,3692,4999,11,110731,ClareAdams,False
2,20225638,author_id: 20225638,coversation_id: 990938963945848834,990938963945848834,2018-05-04T04:23:22.000Z,"[{'start': 0, 'end': 13, 'username': 'DavidDavisMP', 'id': '2797521996'}, {'start': 14, 'end': 28, 'username': 'MichelBarnier', 'id': '17487476'}]",992258357514784768,id: 992258357514784768,2797521996,en,0,0,0,0,"[{'type': 'replied_to', 'id': '990938963945848834'}]",everyone,Twitter for iPhone,@DavidDavisMP @MichelBarnier You total idiot David. Stop Brexit - you know it’s the only way now.,2009-02-06T09:36:09.000Z,🇪🇺🇺🇦Metropolitan elite but for some reason I still have to clean my own toilet. #FBPE Brexiters are pathological liars. I will follow back FBPE ASAP,20225638,🇺🇦 🇪🇺 🇬🇧 Клер Адамс 🌻🌻🌻🌻,3692,4999,11,110731,ClareAdams,False
3,4783819303,author_id: 4783819303,coversation_id: 990938963945848834,990938963945848834,2018-05-13T17:54:24.000Z,"[{'start': 0, 'end': 13, 'username': 'DavidDavisMP', 'id': '2797521996'}, {'start': 14, 'end': 28, 'username': 'MichelBarnier', 'id': '17487476'}]",995723954160586752,id: 995723954160586752,2797521996,und,0,0,0,0,"[{'type': 'quoted', 'id': '995007419968258048'}, {'type': 'replied_to', 'id': '990938963945848834'}]",everyone,Twitter for Android,"@DavidDavisMP @MichelBarnier https://t.co/LHYBkpUrPb

#Sexist Pig",2016-01-19T13:45:58.000Z,#Science #ClimateChangeIsReal #Atheist #Humanist #Evolution #Equality #LGBTsupport #MBA #Rejoiner #FBPE #SaveTheNHS #BLM #ISupportUkraine,4783819303,G W Bridge UK 🇪🇺🇺🇦🌻#FBPE #JohnsonOut,6967,7627,33,66613,GWBridgeUK,False
4,4783819303,author_id: 4783819303,coversation_id: 990938963945848834,990938963945848834,2018-05-01T16:24:41.000Z,"[{'start': 0, 'end': 13, 'username': 'DavidDavisMP', 'id': '2797521996'}, {'start': 14, 'end': 28, 'username': 'MichelBarnier', 'id': '17487476'}]",991352719733649411,id: 991352719733649411,2797521996,en,0,0,0,0,"[{'type': 'replied_to', 'id': '990938963945848834'}]",everyone,Twitter for Android,"@DavidDavisMP @MichelBarnier And yet you still can't offer alternative to the 759 sub-WTO-rate trade agreements including 45 free trade agreements.

Why do you hate Britain so much that you want its economy, its businesses and its people suffer from your utter failure to get trade deals?",2016-01-19T13:45:58.000Z,#Science #ClimateChangeIsReal #Atheist #Humanist #Evolution #Equality #LGBTsupport #MBA #Rejoiner #FBPE #SaveTheNHS #BLM #ISupportUkraine,4783819303,G W Bridge UK 🇪🇺🇺🇦🌻#FBPE #JohnsonOut,6967,7627,33,66613,GWBridgeUK,False
5,565652374,author_id: 565652374,coversation_id: 990938963945848834,990938963945848834,2018-05-11T07:11:14.000Z,"[{'start': 0, 'end': 13, 'username': 'DavidDavisMP', 'id': '2797521996'}, {'start': 14, 'end': 28, 'username': 'MichelBarnier', 'id': '17487476'}]",994837316312223744,id: 994837316312223744,2797521996,en,1,0,0,0,"[{'type': 'replied_to', 'id': '990938963945848834'}]",everyone,Tweetium for Windows,@DavidDavisMP @MichelBarnier @SusanPickin the only progress we need this week is for you and your band of luddites to retire and stop wrecking the country. M. Barnier keep fighting we will beat these stupid fools yet,2012-04-28T18:38:45.000Z,News junkie dedicated to thinking for herself and cutting through woolly thinking. The only ideology I follow is my own! #RejoinEU #FBPE,565652374,Chief Shearer 🙏🇪🇺 🕯️🐟🇫🇷,8137,8276,8,75389,nosheepzone,False
6,103576640,author_id: 103576640,coversation_id: 990938963945848834,990938963945848834,2018-05-10T15:11:27.000Z,"[{'start': 0, 'end': 10, 'username': 'CaroCobbo', 'id': '430662739'}, {'start': 11, 'end': 24, 'username': 'DavidDavisMP', 'id': '2797521996'}, {'start': 25, 'end': 39, 'username': 'MichelBarnier', 'id': '17487476'}]",994595782480285696,id: 994595782480285696,430662739,en,0,0,0,0,"[{'type': 'replied_to', 'id': '992067808149360640'}]",everyone,Twitter Web Client,"@CaroCobbo @DavidDavisMP @MichelBarnier What a load of rubbish, Remoaners still touting lies, damn lies and statistics and 'people didn't know what they were voting for' rubbish.  Yes we wanted out of the Single Market and to trade freely globally.  No to the Customs Union, thank you.",2010-01-10T14:08:20.000Z,Riding horses through my life and loving it.,103576640,Happy Horsewoman,1338,368,24,28180,MsCarolHScott,False
7,242850964,author_id: 242850964,coversation_id: 990938963945848834,990938963945848834,2018-05-09T23:40:05.000Z,"[{'start': 0, 'end': 12, 'username': 'Glenndalmas', 'id': '401292873'}, {'start': 13, 'end': 26, 'username': 'DavidDavisMP', 'id': '2797521996'}, {'start': 41, 'end': 55, 'username': 'MichelBarnier', 'id': '17487476'}]",994361394685468672,id: 994361394685468672,401292873,en,0,0,0,0,"[{'type': 'replied_to', 'id': '994358791448690688'}]",everyone,Twitter for iPad,"@Glenndalmas @DavidDavisMP @Hollis2Bryan @MichelBarnier While you at it... why not strip voting rights for women that are tall, bald men with moustaches, people that drive foreign cars, left handed people, radio 4 listeners and house owners that do not cut their grass weekly.",2011-01-25T18:59:27.000Z,"Spend a lot of time online learning how it works. Weekends are spent on F1, cabins, cider making, talking to plants and programming.",242850964,Kimmie,33,274,0,519,SofaSurfr,False
8,401292873,author_id: 401292873,coversation_id: 990938963945848834,990938963945848834,2018-05-09T23:29:44.000Z,"[{'start': 0, 'end': 13, 'username': 'DavidDavisMP', 'id': '2797521996'}, {'start': 28, 'end': 42, 'username': 'MichelBarnier', 'id': '17487476'}]",994358791448690688,id: 994358791448690688,2797521996,en,2,0,1,2,"[{'type': 'replied_to', 'id': '990938963945848834'}]",everyone,Twitter for iPhone,@DavidDavisMP @Hollis2Bryan @MichelBarnier Anyone who wants to stop Brexit should be stripped of ever voting again as they don’t recognise a majority has the implementation. Therefore they are void by their own standards!,2011-10-30T10:16:08.000Z,🇬🇧🇺🇸 🇳🇿🇮🇹,401292873,Glenn,2856,2907,16,32868,Glenndalmas,False
9,401292873,author_id: 401292873,coversation_id: 990938963945848834,990938963945848834,2018-05-09T23:19:00.000Z,"[{'start': 0, 'end': 10, 'username': 'CaroCobbo', 'id': '430662739'}, {'start': 11, 'end': 24, 'username': 'DavidDavisMP', 'id': '2797521996'}, {'start': 25, 'end': 39, 'username': 'MichelBarnier', 'id': '17487476'}]",994356087871692800,id: 994356087871692800,430662739,en,0,0,0,0,"[{'type': 'replied_to', 'id': '992067808149360640'}]",everyone,Twitter for iPhone,@CaroCobbo @DavidDavisMP @MichelBarnier Assuming you recognised Leave the Eu is ever so simple to understand! Try harder !,2011-10-30T10:16:08.000Z,🇬🇧🇺🇸 🇳🇿🇮🇹,401292873,Glenn,2856,2907,16,32868,Glenndalmas,False
10,2339096091,author_id: 2339096091,coversation_id: 990938963945848834,990938963945848834,2018-05-09T21:56:04.000Z,"[{'start': 0, 'end': 8, 'username': 'BTTB001', 'id': '607113142'}, {'start': 9, 'end': 22, 'username': 'DavidDavisMP', 'id': '2797521996'}, {'start': 23, 'end': 37, 'username': 'MichelBarnier', 'id': '17487476'}]",994335217098862597,id: 994335217098862597,607113142,und,0,0,0,0,"[{'type': 'replied_to', 'id': '994295116981506049'}]",everyone,Twitter for iPhone,@BTTB001 @DavidDavisMP @MichelBarnier 👏👏💥✅🙏🏿🌹,2014-02-12T10:30:08.000Z,British forces veteran 🇬🇧proud of my Queen and country🇬🇧♿️,2339096091,Bryan 🇬🇧🌹🇺🇸 🌷♿️,3280,3391,78,132969,Bryan4265901,False
